Species,Shape,Height,Diameter1,Diameter2
Pinus radiata,2,12.5,0.173,0.173
Pinus radiata,3,10,0.108,0.106
Pinus radiata,2,11,0.132,0.136
Pinus radiata,2,13,0.178,0.187
Pinus radiata,2,11.5,0.156,0.158
Pinus radiata,3,8.5,0.084,0.087
Pinus radiata,2,13.5,0.178,0.179
Pinus radiata,2,10,0.134,0.13
Pinus radiata,3,7.5,0.09,0.091
Pinus radiata,2,11,0.175,0.173
Pinus radiata,2,10.5,0.153,0.149
Pinus radiata,2,10,0.154,0.155
Pinus radiata,2,10.5,0.136,0.133
Pinus radiata,2,9.5,0.13,0.13
Pinus radiata,2,9,0.129,0.133
Pinus radiata,2,11,0.139,0.14
Pinus radiata,2,9,0.135,0.142
Pinus radiata,2,10.5,0.131,0.133
Pinus radiata,2,9.5,0.125,0.127
Pinus radiata,2,11.5,0.134,0.133
Pinus radiata,2,11.5,0.201,0.205
Pinus radiata,3,10,0.103,0.131
Quercus pyrenaica,2,18.5,0.418,0.482
Pinus radiata,2,22,0.321,0.31
Pinus radiata,2,23.5,0.418,0.42
Pinus radiata,2,23.5,0.418,0.403
Pinus radiata,2,24.5,0.423,0.421
Pinus radiata,2,20,0.308,0.278
Quercus pyrenaica,2,13,0.255,0.221
Quercus pyrenaica,4,15.5,0.391,0.378
Pinus radiata,3,6,0.087,0.08
Pinus radiata,2,20.5,0.444,0.43
Pinus radiata,2,24.5,0.483,0.516
Pinus radiata,2,22.5,0.339,0.357
Pinus sylvestris,2,19.5,0.357,0.359
Pinus sylvestris,2,18,0.286,0.302
Pinus radiata,2,24.5,0.292,0.289
Pinus radiata,2,24,0.397,0.382
Pinus radiata,2,23,0.409,0.385
Pinus radiata,2,23,0.4,0.377
Pinus radiata,2,24.5,0.334,0.326
Pinus radiata,2,20,0.265,0.254
Pinus radiata,2,20.5,0.312,0.313
Pinus radiata,2,19,0.344,0.342
Pinus radiata,2,16,0.253,0.253
Pinus radiata,2,19,0.271,0.27
Pinus radiata,2,16.5,0.26,0.27
Pinus radiata,2,17.5,0.241,0.238
Pinus radiata,2,17.5,0.239,0.235
Pinus radiata,2,13.5,0.16,0.151
Pinus radiata,2,21,0.343,0.334
